"id","kanji_id","created_at","updated_at","level"
"1","76","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"2","1876","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"3","1151","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"4","2630","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"5","1386","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"6","1050","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"7","1385","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"8","216","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"9","2402","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"10","2757","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"11","360","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"12","1508","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"13","524","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"14","2470","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"15","2850","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"16","2478","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"17","1856","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"18","437","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"19","1802","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"20","1199","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"21","525","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"22","2557","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"23","1388","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"24","209","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"25","633","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"26","2806","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"27","2161","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"28","381","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"29","2847","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"30","2755","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"31","1670","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"32","1120","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"33","2151","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"34","815","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"35","814","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"36","70","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"37","1","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"38","2558","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"39","834","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"40","563","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"41","564","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"42","1946","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"43","1455","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"44","1456","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"45","943","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"46","268","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"47","2453","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"48","1071","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
